DATAFLOW,LAST UPDATE,freq,treespec,prod_wd,unit,bark,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,FI,2018,7758.73,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,FI,2019,8013.23,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,FI,2020,8937.01,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,FR,2011,26653.39,p
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,FR,2012,26549.53,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,FR,2013,26852.88,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,FR,2014,26116.08,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,FR,2015,25962.09,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,FR,2016,25944,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,FR,2017,23139.61,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,FR,2018,24148.19,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,FR,2019,24186.12,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,FR,2020,23444.46,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HR,2011,1422,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HR,2012,1557,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HR,2013,1400,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HR,2014,2300.28,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HR,2015,1768.74,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HR,2016,1768,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HR,2017,2388.7,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HR,2018,2175.34,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HR,2019,2205.26,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HR,2020,2206.91,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HU,2011,3214.86,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HU,2012,2958.92,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HU,2013,2858.47,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HU,2015,2679.17,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HU,2016,2636,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HU,2017,2826.93,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HU,2018,2817.98,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HU,2019,2683.82,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,HU,2020,2515.54,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IE,2011,194.54,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IE,2012,204.77,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IE,2013,209.37,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IE,2014,206.26,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IE,2015,202.8,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IE,2016,210,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IE,2017,210.27,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IE,2018,210.82,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IS,2012,0.89,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IS,2018,2,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IS,2019,1,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IT,2011,5388.49,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IT,2014,3717.37,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IT,2015,3003.98,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IT,2016,3845,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IT,2017,3841,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IT,2018,3844.46,ep
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IT,2019,3921.35,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,IT,2020,3921.35,p
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,LI,2011,18,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,LI,2012,16.14,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,LI,2013,4.89,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,LI,2014,4.92,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,LI,2015,3.7,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,LI,2016,4,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW_FW,THS_M3,UNBK,LI,2017,3.68,
