DATAFLOW,LAST UPDATE,freq,treespec,prod_wd,unit,bark,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,DE,2020,84050.98,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,DK,2013,3179.76,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,DK,2014,3179.76,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,DK,2015,3482.76,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,DK,2016,3482.76,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,EE,2011,7110,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,EE,2012,7290,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,EE,2013,7654.5,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,EE,2014,8000,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,EE,2015,9515.03,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,EE,2016,10219,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,EE,2017,11458.64,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,EE,2018,12225.53,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,EE,2019,10986.97,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,EE,2020,10637.58,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,EL,2011,1196.33,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,EL,2013,1092.41,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,EL,2017,1182.31,p
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,ES,2011,15427.77,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,ES,2013,15559.57,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,ES,2014,16395.34,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,ES,2015,17427.49,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,ES,2016,16248,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,ES,2017,16910.94,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,ES,2018,18963.46,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,ES,2019,17020.16,
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,ES,2020,15496.05,e
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,EU27_2020,2011,425647.44,s
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,EU27_2020,2012,416084.75,s
ESTAT:FOR_REMOV$DEFAULTVIEW(1.0),20/06/22 23:00:00,A,TOTAL,RW,THS_M3,UNBK,EU27_2020,2013,422068.22,s
